Body type,Make,Model,Build Year,Generation,Power (in KW),Cylinder capacity,Odometer (km),Fuel,Gearbox,Seats,Upholstery,Doors,Car data from VIN,Minimum bid,Reserve Price,Buy it NOW,PRICE,SEK,Auction ends in,Time,Date,Auction end time,Auto1.com link,AUTO24 Price,Potential,Equipment from auto24,Displacement on auto24.ee listing,Body type on auto24.ee,Age of auto24.ee listing,Auto24.ee link,Auto24 search,page
limo,Tesla,Model S 90D,2018,2018 - None,311,,31131,electro,automatic,5,Leather,5,"Xenon Scheinwerfer,
Sitzheizung vorn,
Sitze vorn elektr. verstellbar (12-fach),
Front and Rear,
Rear camera,
Navigationssystem mit Kartendarstellung,
Airbag Fahrer-/Beifahrerseite,
Klimaautomatik 2-Zonen mit autom. Umluft-Control,
USB-Schnittstelle 2 (für Media und Stromversorgung),
Touchscreen (17,0 Zoll),
Fensterheber elektr. vorn und hinten (mit Einklemmschutz und Komfortschaltung),
Anti-Blockier-System (ABS),
Elektron. Stabilitäts-Programm (ESP)",32200,0,0,32200,,23:14:0,18:31,12/10/2023,17:45 13/10/2023,https://www.auto1.com/en/app/merchant/car/YZ31995,40000,7800,"ABS brakes,
airbag,
Blind Spot Detection,
braking force regulator,
central locking,
collision avoidance system,
electric handbrake,
immobilizer,
ISOFIX child seat preparation,
lane assist,
lane change assist,
power steering (speed-proportional),
rain sensor,
stability control,
third brake light,
traction control,
traffic sign assist,
climate control,
cruise control,
electrically adjustable mirrors (folding),
electrical tailgate opening system,
interior pre-heating,
keyless entry,
keyless start,
panorama glass roof,
parking aid,
parking camera (360),
spot lights,
tinted windows,
virtual cockpit,
electrically adjustable seats (with memory),
leather interior,
multifunctional steering wheel,
seat heating,
steering wheel adjustment (height and depth, electrical, with memory),
Android Auto,
Apple CarPlay,
car stereo,
hands free,
navigation system,
screen (in front),
stereo amplifier,
subwoofer,
light alloy wheels (19),
winter tires,
high-beam assistant,
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
adaptive suspension,
adjustable suspension (electrically, height),
outside temperature display,
Garantii kuni 05/2026 akule ja mootorile,
Cream Premium Interior,
Smart Air Suspension,
GPS Enabled Homelink,
Glass Roof,
2 võtit,
Apple Carplay/Android Auto,
2 laadijat",,hatchback,,https://eng.auto24.ee/vehicles/3895144,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=642&bw=2273&f1=2018&f2=None&i[]=2&m[0]=5&d1=5&d2=5&e[0]=59,1
limo,Citroen,C3 1.0 VTi,2016,2016 - None,50,998,91697,petrol,manual,5,Cloth,5,"Servolenkung elektronisch gesteuert,
Airbag Fahrer-/Beifahrerseite,
Airbag Beifahrerseite,
Airbag Beifahrerseite abschaltbar,
Seitenairbag vorn,
Anti-Blockier-System (ABS),
Bordcomputer,
Elektron. Stabilitäts-Programm (ESP),
Fensterheber elektrisch vorn",4400,0,0,4400,,22:50:28,18:31,12/10/2023,17:21 13/10/2023,https://www.auto1.com/en/app/merchant/car/EY37697,8500,4100,"ABS brakes,
airbag,
anti-theft alarm system,
automatic braking system,
Blind Spot Detection,
braking force regulator,
central locking,
collision avoidance system,
immobilizer,
ISOFIX child seat preparation,
power steering (speed-proportional),
rain sensor,
side curtain airbags,
stability control,
third brake light,
traction control,
traffic sign assist,
Coming-/Leaving-Home system,
cruise control,
electrically adjustable mirrors,
mirrors in sunshields,
parking aid,
power windows,
spot lights,
adjustable seat height,
cargo mat,
cup holders,
down folding back rest,
interior mats,
multifunctional steering wheel,
steering wheel adjustment,
textile upholstery,
Android Auto,
Apple CarPlay,
car stereo (with USB interface, original),
hands free,
onboard computer,
screen,
speakers,
dust shields,
summer tires,
tire pressure monitoring system,
fog lights,
headlight range adjustment,
LED (daytime running lights),
lighting pack,
special light switch-dim-dip-light,
12v power outlet,
luggage cover,
outside temperature display,
rear window cleaner,
rear window heating,
Pack Safety 1- sõidureast väljumise hoiatus",1.2,hatchback,,https://eng.auto24.ee/vehicles/3894929,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=20&bw=135&f1=2016&f2=None&i[]=1&h[]=1&m[0]=5&d1=5&d2=5,1
suv,Jeep,Grand Cherokee 3.0 CRD,2014,2013 - 2020,184,"2,987",234120,diesel,automatic,5,Leather,5,"Detachable tow hitch,
Bi-Xenon-Scheinwerfer,
Timer,
Sitzheizung hinten,
Sitzheizung vorn,
Parkpilotsystem vorn und hinten,
Servolenkung,
Freisprechanlage UConnect (mit Bluetooth-Schnittstelle),
Airbag Fahrer-/Beifahrerseite,
Knieairbag Fahrerseite,
Kopf-Airbag-System (Windowbag) vorn + hinten,
Seitenairbag,
Audio-Navigationssystem: UConnect Smartouch Multimedia-System mit Navigationssystem,
Klimaautomatik 2-Zonen,
Rußpartikelfilter,
Antriebsart: Quadra-Drive II (Allrad),
Panoramadach vorn elektrisch, hinten fest,
Wegfahrsperre,
Anti-Blockier-System (ABS),
Elektron. Stabilitäts-Programm (ESP),
Bordcomputer,
CD-Laufwerk in der Mittelarmlehne,
USB-Anschluss,
Diebstahl-Warnanlage mit Innenraumüberwachung,
Innenraumüberwachung,
Fensterheber elektrisch vorn + hinten,
Geschwindigkeits-Regelanlage (Tempomat) mit Abstandsregelung",9300,241,0,9300,,23:8:57,18:31,12/10/2023,17:40 13/10/2023,https://www.auto1.com/en/app/merchant/car/BK53962,14000,4700,"ABS brakes,
airbag,
anti-theft alarm system,
central locking (with remote control),
head restraints (front, rear),
power steering,
4x power windows,
automatic anti-dazzle mirrors (inner, outer),
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding, with memory),
electrical tailgate opening system (remote),
inside illuminated doors,
keyless entry,
keyless start,
mirrors in sunshields (enlighted),
panorama glass roof,
parking aid (front, rear),
parking camera,
spot lights,
sunroof (glass, electric),
tinted windows,
2x electrically adjustable seats (1x with memory),
4x seat heating,
adjustable backrest shape (driver's seat, front passenger seat),
adjustable seat height (driver's seat, front passenger seat),
cup holders (in the front, in the back),
down folding back rest,
fine laths inside saloon (wood inlay),
front armrest (with compartment),
heated steering wheel,
interior mats (textile, rubber),
leather interior,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
rear armrest,
steering wheel adjustment (height and depth, electrical, with memory),
ventilated seats (on front seats),
car stereo (CD, MP3, with USB interface, original),
navigation system (with map),
screen (in front),
speakers,
stereo amplifier,
subwoofer,
light alloy wheels,
spare wheel,
summer tires,
tire pressure monitoring system,
winter tires (spike tires),
comes with the carwinter tires (spike tires),
winter tires (spike tires),
fog lights (front, rear),
headlight washers,
high-beam assistant,
special light switch-dim-dip-light,
Xenon headlight,
sump shield,
adaptive suspension,
adjustable suspension (electrically, height),
cargo attachment hooks,
luggage net,
mud flaps, front/rear,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings",3.0,touring,,https://eng.auto24.ee/vehicles/3912194,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=32&bw=104&f1=2013&f2=2020&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,1
limo,MINI,MINI Cooper,2015,,100,"1,499",70372,petrol,manual,4,Part leather,3,"Sitzheizung vorn,
Park-Distance-Control (PDC),
Freisprecheinrichtung Bluetooth mit USB-/Audio-Schnittstelle,
Servolenkung Servotronic,
Sportsitze vorn,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System hinten,
Kopf-Airbag-System vorn,
Seitenairbag vorn,
Klimaautomatik 2-Zonen mit autom. Umluft-Control,
AUX-IN-Anschluss (AUX-IN),
USB-Schnittstelle,
MINI Connected (Schnittstelle),
Anti-Blockier-System (ABS),
Bordcomputer,
Wegfahrsperre,
Fensterheber elektrisch vorn,
Elektron. Sperrdifferential,
Dynamische Stabilitäts-Control (DSC)",7793,0,0,7793,,23:20:44,18:31,12/10/2023,17:52 13/10/2023,https://www.auto1.com/en/app/merchant/car/TL04215,0,-7793,,,,,,,1
commercial,Mercedes-Benz,Sprinter 316 CDI,2019,2019 - None,120,"2,143",196922,diesel,manual,7,Cloth,4,"Fixed,
Sitze im Fahrerhaus: Fahrersitz heizbar,
Freisprecheinrichtung Bluetooth,
Airbag Fahrerseite,
Airbag Beifahrerseite,
Navigationssystem für Multimediasystem MBUX,
Klimaanlage geregelt (Tempmatik),
Partikelfilter,
In navigation system,
Wegfahrsperre,
Fensterheber elektrisch 2-fach,
Elektron. Stabilitäts-Programm (ESP),
Anti-Blockier-System (ABS)",18400,16477,0,18400,,22:51:39,18:31,12/10/2023,17:23 13/10/2023,https://www.auto1.com/en/app/merchant/car/AA28486,0,-18400,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=12&bw=1394&f1=2019&f2=None&i[]=1&h[]=2&m[0]=4&d1=7&d2=7,1
limo,Audi,A7 3.0 V6 TDI,2016,2016 - None,200,"2,967",195062,diesel,duplex,5,Alcantara,5,"Calefacción del asiento delante,
Ayuda aparcamiento delante y detrás, óptico (APS Plus),
Dirección asistida electromecánico,
Dispositivo manos libres bluetooth con Reconocimiento de idioma (Audi Phone Box),
Tren de rodaje deportivo S-line,
Asientos deportivos delante,
Airbag conductor/acompañante,
Airbag lateral delante,
Airbag lateral detrás,
Sistema de airbag para la cabeza (Sideguard),
Multi-Media-Interface MMI Navigation Plus con MMI Touch,
Multi-Media-Interface MMI Navigation,
Climatizador confort 2-zonas,
Filtro partículas,
Alarma antirrobo + Protección del habitáculo interior / Protección para remolque,
Tipo transmisión: Tracción total,
Sistema antibloqueo (ABS),
Elevalunas eléctric. delante + detrás,
electrónico Control de estabilidad (ESC),
Indicador multifunción / Ordenador de a bordo,
Sistema información conductor (FIS) con pantalla en color,
Inmovilizador (electrónico),
Multi-Media-Interface MMI basic / MMI Radio",21262,0,21803,21803,,22:32:5,18:31,12/10/2023,17:03 13/10/2023,https://www.auto1.com/en/app/merchant/car/DT63707,20990,-813,"6x airbag,
ABS brakes,
ASR traction control,
AUDI originaal immobilizer,
auto-hold brakes,
BEA braking force regulator,
central locking (with remote control),
electric handbrake,
ESC stability control,
front passenger airbag isolation,
ISOFIX child seat preparation (on front seat, on rear seat),
power steering (speed-proportional),
rain sensor,
side curtain airbags,
third brake light,
2x mirrors in sunshields (enlighted),
4x power windows,
automatic anti-dazzle mirrors,
climate control,
Coming-/Leaving-Home system,
cruise control,
electrically adjustable mirrors (heated mirrors, folding),
electrical tailgate opening system (remote),
inside illuminated doors,
keyless start,
parking aid (front, rear),
spot lights,
tinted windows,
""ALCANTARA"" leather interior,
2x seat heating,
adjustable backrest shape (driver's seat, front passenger seat),
adjustable seat height (driver's seat, front passenger seat),
ALU-DEKOOR fine laths inside saloon,
black roof liner,
cup holders (in the front, in the back),
down folding back rest,
front armrest (with compartment),
gear change from steering wheel,
interior mats (textile),
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
racing seats,
racing steering wheel,
rear armrest,
steering wheel adjustment (height and depth),
AUDI originaal car stereo (CD, MP3, original),
AUDI originaal CD changer,
AUDI originaal speakers,
BLUETOOTH hands free,
navigation system (with map),
onboard computer,
screen (in front),
light alloy wheels (20"", AUDI originaal),
tire pressure monitoring system,
fog lights (front, rear),
headlight washers,
high-beam assistant,
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
rear spoiler,
ASSYST,
cargo attachment hooks,
luggage cover,
outside temperature display,
rear window heating,
start-stop system,
KLIIMAAUTOMAATIK,
PÜSIKIIRUSEHOIDJA,
PARKIMISEABI EES,TAGA,
MUST LAEPOLSTER,
S-LINE ALCANTARA NAHKKATTEGA SALONG,
AUTOKOMPUUTER,
2X ISTMESOOJENDUSED,
4X ELEKTRILISED AKNATÕSTUKID,
LED TULED,
NAVIGATSIOONISEADE,
ELEKTRILINE TAGALUUK,
BLUETOOTH KÄEDVABA SÜSTEEM,
""AUTOHOLD"" MÄGISTARDIABI,
START/STOP SÜSTEEM,
VÕTMEVABA KÄIVITUS,
""S-LINE"" SPORTROOL KOOS KÄIGUVAHETUSEGA ROOLILT,
REHVIRÕHU KONTROLLSÜSTEEM,
LED ESITULED KOOS KAUGTULEDE ASSISTIGA",3.0,hatchback,,https://eng.auto24.ee/vehicles/3936584,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=2&bw=2056&f1=2016&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5,1
van,Mitsubishi,Grandis 2.4,2008,2005 - 2011,121,"2,378",244942,petrol,automatic,3,Cloth,5,"Direction assistée,
Airbag conducteur et passager,
Lève-vitre électrique AV + AR,
Antidémarrage,
Système d'antiblocage de frein (ABS),
Radio CD USB",13435,13435,0,13435,,22:57:54,18:31,12/10/2023,17:29 13/10/2023,https://www.auto1.com/en/app/merchant/car/FD94248,0,-13435,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=3&bw=992&f1=2005&f2=2011&i[]=2&h[]=1&m[0]=5&d1=3&d2=3,1
combi,Opel,Insignia 1.6 CDTI DPF,2017,2017 - 2019,100,"1,598",138400,diesel,manual,5,Cloth,5,"Bi-Xenon-Scheinwerfer mit adaptiver Lichtverteilung (AFL),
Sitzheizung vorn,
Sitz vorn links elektr. höhenverstellbar,
Parkpilotsystem,
Servolenkung hydraulisch,
Airbag Beifahrerseite abschaltbar,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System,
Seitenairbag vorn,
Audio-Navigationssystem Navi 900 Europa Touch,
Klimaautomatik 2-Zonen,
Wegfahrsperre,
Anti-Blockier-System (ABS),
Bordcomputer,
Elektron. Stabilitäts-Programm (ESP),
Fensterheber elektrisch vorn + hinten",9861,0,0,9861,,22:34:10,18:31,12/10/2023,17:05 13/10/2023,https://www.auto1.com/en/app/merchant/car/DW34524,10750,889,"10x airbag,
ABS brakes,
auto-hold brakes,
braking force regulator,
central locking (with remote control),
collision avoidance system,
electric handbrake,
front passenger airbag isolation,
ISOFIX child seat preparation (on rear seat),
lane assist,
lane change assist,
Opel anti-theft alarm system (with tow-away protection),
Opel immobilizer,
power steering (speed-proportional),
rain sensor,
seatbelt pre-tighteners on front seats,
side curtain airbags,
stability control,
third brake light,
traction control,
2x mirrors in sunshields (enlighted),
4x power windows,
automatic anti-dazzle mirrors (inner, outer),
climate control,
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding),
electrical tailgate opening system (remote),
inside illuminated doors,
keyless start,
parking aid (front, rear),
spot lights,
tinted windows,
adjustable seat height (driver's seat, front passenger seat),
cargo mat,
cup holders (in the front, in the back),
down folding back rest,
down folding front passenger backrest,
front armrest (with compartment),
interior mats (textile),
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
rear armrest (with compartment),
steering wheel adjustment (height and depth),
Terve. puhas ja kulumata textile upholstery,
8x speakers,
Android Auto,
Apple CarPlay,
car phone,
hands free,
navigation system (with map, with voice recognition),
onboard computer,
Opel car stereo (CD, MP3, with USB interface, original),
screen (in front),
light alloy wheels (17"", Opel originaal),
spare wheel,
adaptive lights,
fog lights (front, rear, cornering light function),
headlight range adjustment,
high-beam assistant,
LED (daytime running lights, low beam),
special light switch-dim-dip-light,
3x 12v power outlet,
ASSYST,
cargo attachment hooks,
fire extinguisher,
luggage cover,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
saloon and luggage department isolation net,
start-stop system,
tow hitch (removable),
windshield washer defrost,
Topelt võmted,
Hind sisaldab 20% KM,
Äsja Belgiast,
Auto on transpordiameti poolt kontrollitud ja saab kohe arvele! Vajadusel aitan dokumentide vormistamisega,
+372 5059679 EST, ENG, RUS",1.6,touring,,https://eng.auto24.ee/vehicles/3950928,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=5&bw=1386&f1=2017&f2=2019&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,1
suv,Volvo,XC 40 2.0 D4,2019,2019 - None,140,"1,969",81567,diesel,automatic,5,Leather,5,"Sitzheizung vorn,
Einparkhilfe vorn und hinten,
Servolenkung - geschwindigkeitsabhängig,
Sprachsteuerungs-System,
Airbag Beifahrerseite,
Airbag Beifahrerseite abschaltbar,
Airbag Fahrerseite,
Knieairbag Fahrerseite,
Kopf-Airbag-System,
Seitenairbag vorn,
Navigationssystem Sensus,
Navigationssystem Sensus,
Rußpartikelfilter,
Klimaautomatik 2-Zonen,
Smartphone Schnittstelle (Apple CarPlay & Android Auto),
Wegfahrsperre,
Anti-Blockier-System (ABS) mit elektr. Bremskraftverstärker,
Antriebsart: Allradantrieb,
Elektron. Differentialsperre Corner Traction Control (CTC) mit Torque Vectoring,
Fahrassistenz-System: Automatische Stabilitätskontrolle ESC,
Fensterheber elektrisch vorn + hinten",24753,24753,0,24753,,23:16:44,18:31,12/10/2023,17:48 14/10/2023,https://www.auto1.com/en/app/merchant/car/XF20288,26990,2237,"10x airbag,
ABS brakes,
auto-hold brakes,
central locking (with remote control),
Collision Warning / City Safety II automatic braking system,
Collision Warning / City Safety II collision avoidance system,
driver drowsiness detection system,
DSTC stability control,
DSTC traction control,
EBA braking force regulator,
electric handbrake,
front passenger airbag isolation,
head restraints (front, rear),
immobilizer,
ISOFIX child seat preparation (on rear seat),
lane change assist,
Pilot Assist / Lane Keeping Aid lane assist,
power steering (speed-proportional),
rain sensor,
seatbelt pre-tighteners on front seats,
side curtain airbags,
third brake light,
traffic sign assist,
Volvo Guard anti-theft alarm system (with interior motion sensor),
4x power windows,
automatic anti-dazzle mirrors (inner, outer),
automatic parking function,
climate control,
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding),
inside illuminated doors,
interior pre-heating,
keyless entry,
keyless start,
mirrors in sunshields (enlighted),
parking aid (front, rear),
parking camera,
spot lights,
Tehase Webasto kalendriga + On Call äpp engine pre-heating,
virtual cockpit,
wireless charging,
4x seat heating,
adjustable backrest shape (driver's seat, front passenger seat),
adjustable seat height (driver's seat, front passenger seat),
black roof liner,
Comfort seats,
Comfortseats Arienne leather interior,
cup holders,
down folding back rest,
fine laths inside saloon,
front armrest (with compartment),
heated steering wheel,
interior mats,
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
rear armrest (with compartment),
steering wheel adjustment (height and depth),
High Performance Multimedia Sound car stereo (MP3, with USB interface, original),
navigation system (with map, with voice recognition),
onboard computer,
Sensus Navi- ja multimeediasüsteem + parkimiskaamera screen (in front),
speakers,
stereo amplifier,
Volvo Bluetooth hands free,
light alloy wheels (18"", 5-Double Spoke Matt Black Diamond Cut),
summer tires,
tire pressure monitoring system,
adaptive lights,
fog lights (front, rear, cornering light function),
headlight washers,
high-beam assistant,
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
front spoiler,
rear spoiler,
spoilers on all sides,
12v power outlet,
ASSYST,
electrically heated windshield,
luggage cover,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
saloon and luggage department isolation net,
start-stop system,
windshield washer defrost,
R-DESIGN ERIMUDEL,
BURSTING BLUE ERIVÄRV,
INTELLISAFE PACK,
BUSINESS PACK,
LIGHT PACK,
WINTER PACK PRO,
TEHASE WEBASTO KALENDRIGA + VOLVO ON-CALL,
SOOJENDUSEGA ROOL,
KEYLESS DRIVE VÕTMEVABA SISENEMINE JA KÄIVITUS,
PARKIMISKAAMERA,
PILOT ASSIST - SEMI AUTONOMOUS DRIVE,
STOP&GO AKTIIVNE UMMIKUASSISTENT,
FULL LED KURVITULED,
COMFORTSEATS LEATHER ARIENNE,
PIKENDATAV ISTMEPADI,
DRIVE MODE SÕIDUSEADETE VALIK,
INTELLISAFE ASSIST,
ACC ADAPTIIVNE PÜSIKIIRUSHOIDIK,
PILOT ASSIST - POOLAUTONOOMNE JUHTIMISSÜSTEEM,
LANE KEEPING AID (LKA) - AKTIIVNE SÕIDURAJA ABISÜSTEEM,
DISTANCE WARNING - VAHEKAUGUSE HOIATUS,
TRAFFIC SIGN INFORMATION - LIIKLUSMÄRKIDE INFO KUVAMINE,
DIGITAALNE NÄIDIKUTABLOO,
SENSUS NAVIGATSIOONISÜSTEEM,
SALONGIVALGUSTUS AMBIENT HIGH,
18"" 5-V SPOKE DIAMOND CUT BLACK VALUVELG",2.0,touring,,https://eng.auto24.ee/vehicles/3952329,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=10&bw=2513&f1=2019&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,1
combi,Ford,Mondeo 2.0 TDCi,2016,2016 - None,132,"1,997",202108,diesel,semi-automatic,5,Part leather,5,"Siège chauffant AV,
Siège chauffant AV,
Siège AV D élect. réglable(s) (x 10),
Siège AV G à réglages électriques (x 10 - avec Memory),
Caméra aide au recul,
Système aide au stationnement AV et AR,
Système aide au stationnement AR,
Direction assistée électrique,
pré-équipement téléphone/téléphone mobile avec Interface Bluetooth-/USB,
pré-équipement téléphone/téléphone mobile avec Interface Bluetooth-/USB,
Chassis/Suspension sport,
Sièges sport,
Airbag genou conducteur,
Airbag conducteur et passager,
Airbag-Tête-Epaules AV et AR,
Airbag lat AV,
Système de navigation : Sony (avec Ford SYNC),
filtre à particules (FAP),
Climatisation automatique 2 zones,
Régulateur de vitesse adaptatif (Régulateur de vitesse adaptatif / ACC),
Système d'antiblocage de frein (ABS),
Contrôle dynamique de stabilité (ESP),
Lève-vitre électrique AV + AR avec fermeture globale,
In navigation system",9342,0,9887,9887,,23:22:13,18:31,12/10/2023,17:53 13/10/2023,https://www.auto1.com/en/app/merchant/car/CU09846,15990,6103,"ABS brakes,
airbag,
anti-theft alarm system (with tow-away protection, with interior motion sensor, two way communication),
auto-hold brakes,
automatic braking system,
braking force regulator,
central locking (with remote control),
collision avoidance system,
driver drowsiness detection system,
electric handbrake,
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation (on rear seat),
lane assist,
power steering (speed-proportional),
rain sensor,
side curtain airbags,
stability control,
third brake light,
traction control,
traffic sign assist,
2x door curtains,
4x power windows,
automatic anti-dazzle mirrors (inner, outer),
automatic parking function,
climate control,
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors, folding, with memory),
electrical tailgate opening system (remote),
inside illuminated doors,
keyless entry,
keyless start,
mirrors in sunshields (enlighted),
panorama glass roof,
parking aid (front, rear),
parking camera,
spot lights,
tinted windows,
virtual cockpit,
1x electrically adjustable seats (1x with memory),
4x seat heating,
adjustable seat height (driver's seat),
air adjustable seats,
Comfort seats,
cup holders (in the front, in the back),
down folding back rest,
fine laths inside saloon,
front armrest (with compartment),
gear change from steering wheel,
half-leather padding,
heated steering wheel,
interior mats (velour),
leather steering wheel,
multifunctional steering wheel,
rear armrest (with compartment),
steering wheel adjustment (height and depth),
Android Auto,
Apple CarPlay,
car stereo (CD, MP3, with USB interface, original),
DVD,
electric antenna,
hands free,
navigation system (with map, with voice recognition),
onboard computer,
screen (in front),
speakers,
stereo amplifier,
subwoofer,
light alloy wheels (17, Ford original),
spare wheel,
summer tires,
tire pressure monitoring system,
adaptive lights,
fog lights (front, rear, cornering light function),
headlight washers,
high-beam assistant,
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
3x 12v power outlet,
cargo attachment hooks,
double glazing,
electrically heated windshield,
luggage cover,
outside temperature display,
rear window cleaner,
rear window heating,
ski bag,
start-stop system,
windshield washer defrost,
TITANIUM VARUSTUSTASE,
110 kW VIIMASE PÕLVKONNA MOOTOR - VÕIMAS JA SAMAS ÜLIÖKONOOMNE,
LED ESI- JA KAUGTULED + KAUGTULEDE ASSISTENT,
ACC - ADAPTIIVNE PÜSIKIIRUSE HOIDJA + TOTAALPIDURDUSEGA AVARIIENNETUSSÜSTEEM,
LANE ASSIST - SÕIDURAJA HOIDMISSÜSTEEM,
SIGN ASSIST - LIIKLUSMÄRKIDE TUVASTAMINE,
DRIVER ALERT - JUHI VALVSUSE KONTROLLSÜSTEEM,
KEYLESS GO  - VÕTMETA SISENEMINE JA KÄIVITUS,
LED PÄEVASÕIDUTULED,
LED TAGATULED,
SALONGI LISAVALGUSTUS VÄRVIVALIKUGA,
PARKIMISANDURID 360° + PARKIMISKAAMERA + AUTOMAATNE PARKIMIS FUNKTSIOON,
ELEKTRILINE ESIKLAASI SOOJENDUS,
ROOLISOOJENDUS,
ISTMESOOJENDUSED EES JA TAGA,
ELEKTRILISELT REGULEERITAV JUHIISTE + 3 x ISTMEMÄLU,
DIGITAALNE NÄIDIKUTEPANEEL,
SONY SYNC PREMIUM SOUND - PREMIAALNE HELISÜSTEEM,
MF NAHKKATTEGA ROOL + F1 KÄIGUVAHETUS ROOLILT,
ELEKTRILISELT KOKKUKLAPITAVAD PEEGLID SOOJENDUSEGA,
ISETUMENEVAD PEEGLID SEES JA VÄLJAS,
AIR CARE CLIMATRONIC - KAHE TSOONILINE KLIIMA,
AKTIVEERITUD APP-CONNECT -  APPLE CAR PLAY & ANDROID AUTO,
BLUETOOTH MEDIASÜSTEEM + HANDS FREE SÜSTEEM,
ELEKTRILINE TAGALUUK - AVAMINE PULDIST JA NUPUST,
FOLLOW ME HOME - TULEDE FUNKTSIOON,
REHVIRÕHU KONTROLLSÜSTEEM,
PANORAAMKATUS,
TOONITUD KLAASID,
FORD ORIGINAAL 17"" VELJED,
DÜNAAMILISED SUUNATULED,
KORRALIKUD SUVEREHVID,
2 x VÕTIT",2.0,hatchback,,https://eng.auto24.ee/vehicles/3924264,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=7&bw=62&f1=2016&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=60,1
